ent_fed,anio,generacion_estimada_ton_anio_total,variacion_porcentual
aguascalientes,2017,21.32,
aguascalientes,2018,80.92999999999999,279.59662288930576
aguascalientes,2019,2040.266,2421.0255776597064
aguascalientes,2020,28234.481,1283.862741426853
aguascalientes,2021,38.31,-99.86431484255014
aguascalientes,2022,1.38,-96.39780736100235
baja california,2017,175.88,
baja california,2018,184.27,4.770297930407108
baja california,2019,13.556,-92.64340370109079
baja california,2020,8075792.273,59573463.53644143
baja california,2021,123.82,-99.99846677581822
baja california,2022,18.65,-84.93781295428849
baja california sur,2017,117.09,
baja california sur,2018,17.65,-84.92612520283542
baja california sur,2019,0.23,-98.69688385269122
baja california sur,2020,34375.97,14945973.913043479
baja california sur,2021,153.62,-99.55311806474116
baja california sur,2022,2.2,-98.56789480536389
campeche,2017,450157.62,
campeche,2018,29.74,-99.99339342517405
campeche,2019,0.0,-100.0
campeche,2020,17.435000000000002,inf
campeche,2021,17.439999999999998,0.028677946658994813
campeche,2022,94.8,443.57798165137615
chiapas,2017,140269.6,
chiapas,2018,48.53,-99.9654023394948
chiapas,2019,53364.286,109861.43828559655
chiapas,2020,28052.498,-47.43207470254545
chiapas,2021,14.3,-99.94902414751085
chiapas,2022,4.65,-67.48251748251748
chihuahua,2017,344.1,
chihuahua,2018,42399.60999999999,12221.886079628013
chihuahua,2019,157764.946,272.09055932354096
chihuahua,2020,2619313.929,1560.2635727457478
chihuahua,2021,11142.44,-99.57460463686176
chihuahua,2022,39.88,-99.64208916538927
ciudad de méxico,2017,26.83,
ciudad de méxico,2018,109.71,308.90793887439435
ciudad de méxico,2019,200.345,82.61325312186676
ciudad de méxico,2020,1492044.008,744637.3321021238
ciudad de méxico,2021,30.55,-99.99795247326244
ciudad de méxico,2022,5.63,-81.57119476268413
coahuila de zaragoza,2017,223.83,
coahuila de zaragoza,2018,10399.13,4545.994728141893
coahuila de zaragoza,2019,55048.9,429.36062920648175
coahuila de zaragoza,2020,4444554.797,7973.830352650099
coahuila de zaragoza,2021,127.46,-99.997132221205
coahuila de zaragoza,2022,0.04,-99.9686176055233
colima,2017,2.8,
colima,2018,43.94,1469.2857142857142
colima,2019,0.0,-100.0
colima,2020,35326.197,inf
colima,2021,6.74,-99.98092067481818
colima,2022,0.25,-96.29080118694363
durango,2017,18.130000000000003,
durango,2018,130.44,619.4704908990622
durango,2019,13490.0,10241.919656547072
durango,2020,665424.848,4832.726819866568
durango,2021,41.69,-99.99373482969183
durango,2022,0.89,-97.86519549052531
guanajuato,2017,121.6,
guanajuato,2018,385.91,217.36019736842107
guanajuato,2019,57.394000000000005,-85.12762042963385
guanajuato,2020,2293062.277,3995199.6428198065
guanajuato,2021,117.36,-99.99488195322137
guanajuato,2022,12.26,-89.5535105657805
guerrero,2017,40.65,
guerrero,2018,34.58,-14.932349323493233
guerrero,2019,0.0,-100.0
guerrero,2020,97399.991,inf
guerrero,2021,6.46,-99.99336755585531
guerrero,2022,2.87,-55.57275541795666
hidalgo,2017,29.74,
hidalgo,2018,42.05,41.39206455951581
hidalgo,2019,208.363,395.512485136742
hidalgo,2020,1480136.913,710264.5623263248
hidalgo,2021,95.48,-99.99354924540012
hidalgo,2022,2.5,-97.38165060745706
jalisco,2017,172.72,
jalisco,2018,23293.05,13386.017832329782
jalisco,2019,1.232,-99.9947108686926
jalisco,2020,3100017.995,251624737.2564935
jalisco,2021,12237.88,-99.6052319689841
jalisco,2022,24.95,-99.79612481900459
michoacan de ocampo,2017,17.96,
michoacan de ocampo,2018,58.44,225.38975501113586
michoacan de ocampo,2019,5833432.021,9981816.531485284
michoacan de ocampo,2020,315851.458,-94.58549517911662
michoacan de ocampo,2021,24.51,-99.99224002315671
michoacan de ocampo,2022,2.43,-90.08567931456548
morelos,2017,33.870000000000005,
morelos,2018,162.3,379.185119574845
morelos,2019,0.151,-99.90696241528035
morelos,2020,221799.875,146887234.4370861
morelos,2021,25.45,-99.98852569236118
morelos,2022,16.0,-37.13163064833006
méxico,2017,96.78,
méxico,2018,21549.37,22166.34635255218
méxico,2019,3805689.007,17560.326065216756
méxico,2020,5642546.938,48.26610707342014
méxico,2021,134.29,-99.99762004638197
méxico,2022,42.24,-68.54568471219004
nayarit,2017,21.63,
nayarit,2018,55.2,155.20110957004164
nayarit,2019,572.242,936.6702898550724
nayarit,2020,134202.042,23351.973465771473
nayarit,2021,8.399999999999999,-99.99374078078485
nayarit,2022,0.2,-97.61904761904762
nuevo león,2017,107627.38,
nuevo león,2018,373312.2,246.8561624374764
nuevo león,2019,4.782,-99.99871903463107
nuevo león,2020,487962.26,10204045.964031786
nuevo león,2021,549.2900000000001,-99.88743186819407
nuevo león,2022,60.16,-89.0476797320177
oaxaca,2017,45.85,
oaxaca,2018,18.26,-60.17448200654307
oaxaca,2019,55968.441000000006,306408.439211391
oaxaca,2020,269732.615,381.9369812355502
oaxaca,2021,12.33,-99.9954288064126
oaxaca,2022,11.16,-9.48905109489051
puebla,2017,131.32,
puebla,2018,82.94,-36.84130368565336
puebla,2019,33685.141,40513.8666505908
puebla,2020,1768146.654,5149.040382523558
puebla,2021,36.53,-99.99793399490267
puebla,2022,13.87,-62.03120722693677
querétaro,2017,17.23,
querétaro,2018,88.78999999999999,415.3221125943122
querétaro,2019,40.1,-54.837256447798175
querétaro,2020,1313655.38,3275848.5785536156
querétaro,2021,45.95,-99.9965021267602
querétaro,2022,4.18,-90.90315560391731
quintana roo,2017,7.67,
quintana roo,2018,50.92,563.8852672750978
quintana roo,2019,0.0,-100.0
quintana roo,2020,69676.362,inf
quintana roo,2021,33.34,-99.95215019980522
quintana roo,2022,2.36,-92.92141571685663
san luis potosí,2017,46.92,
san luis potosí,2018,78.27,66.8158567774936
san luis potosí,2019,39881.562,50853.82905327711
san luis potosí,2020,126555.916,217.32938644679965
san luis potosí,2021,14.72,-99.98836877763976
san luis potosí,2022,4.04,-72.55434782608697
sinaloa,2017,40.03,
sinaloa,2018,38.49,-3.8471146640019938
sinaloa,2019,0.5,-98.70096128864641
sinaloa,2020,267431.609,53486221.8
sinaloa,2021,72.11,-99.97303609686618
sinaloa,2022,11.59,-83.92733324088198
sonora,2017,59.08,
sonora,2018,53.830000000000005,-8.886255924170605
sonora,2019,3.352,-93.77298903956901
sonora,2020,987394.151,29456766.079952266
sonora,2021,48.68,-99.99506985128981
sonora,2022,27.17,-44.186524239934265
tabasco,2017,1056.14,
tabasco,2018,2516253.35,238149.98106311663
tabasco,2019,5875015.744,133.4826794766115
tabasco,2020,970066.075,-83.48828126987229
tabasco,2021,336.2,-99.96534256699988
tabasco,2022,454292.83,135025.76740035694
tamaulipas,2017,615.76,
tamaulipas,2018,354.8,-42.380148109653106
tamaulipas,2019,46.384,-86.92671927846673
tamaulipas,2020,1543710.693,3328010.3246809244
tamaulipas,2021,150530.43000000002,-90.24879268618243
tamaulipas,2022,23720.34,-84.24216286368144
tlaxcala,2017,18.7,
tlaxcala,2018,14.22,-23.95721925133689
tlaxcala,2019,0.0,-100.0
tlaxcala,2020,60870.41,inf
tlaxcala,2021,3.89,-99.99360937440704
tlaxcala,2022,4.88,25.449871465295626
veracruz de ignacio de la llave,2017,792.72,
veracruz de ignacio de la llave,2018,50205.91,6233.372439196691
veracruz de ignacio de la llave,2019,806316.049,1506.0181938739881
veracruz de ignacio de la llave,2020,1297682.108,60.93963522236676
veracruz de ignacio de la llave,2021,1.6,-99.99987670323955
veracruz de ignacio de la llave,2022,24775.550000000003,1548371.8750000002
yucatán,2017,62.48,
yucatán,2018,24.3,-61.10755441741357
yucatán,2019,200.085,723.395061728395
yucatán,2020,58807.383,29291.20023989804
yucatán,2021,14.38,-99.97554728799953
yucatán,2022,44.31,208.13630041724616
zacatecas,2017,22.72,
zacatecas,2018,37.83,66.50528169014085
zacatecas,2019,0.0,-100.0
zacatecas,2020,2685408.288,inf
zacatecas,2021,45.2,-99.99831682950403
zacatecas,2022,5.7,-87.38938053097345
