ent_fed,generacion_estimada_ton_2017_2022_total
aguascalientes,30416.686999999998
baja california sur,34666.76
colima,35379.926999999996
yucatán,59152.937999999995
tlaxcala,60912.1
quintana roo,69770.652
guerrero,97484.55099999999
nayarit,134859.714
san luis potosí,166581.428
chiapas,221753.864
morelos,222037.646
sinaloa,267594.329
oaxaca,325788.656
campeche,450317.035
durango,679105.998
nuevo león,969516.0719999999
sonora,987586.263
querétaro,1313851.63
hidalgo,1480515.046
ciudad de méxico,1492417.0729999999
tamaulipas,1718978.4070000001
puebla,1802096.455
veracruz de ignacio de la llave,2179773.937
guanajuato,2293756.801
zacatecas,2685519.738
chihuahua,2831004.905
jalisco,3135747.827
coahuila de zaragoza,4510354.157000001
michoacan de ocampo,6149386.819
baja california,8076308.449
méxico,9470058.625
tabasco,9817020.339
